,name
173,workforce1442-ah
174,job_seeker-2021
175,dorob-2019-2020
176,dorob-2014-2017
177,number-of-trainees-in-ethrai-platform-by-courses-1440-1441
178,number-of-participants-in-ethrai-platform-by-webinar-1440-1441
179,beneficiarieswosool
180,ministry-of-healthbudget-2007-2021
181,expenditures-by-functional-classification-yearly
182,revenues-by-economic-classification
183,expenditures-by-functional-classification
184,public-financial-statements-1993-2020
185,2019-2020-2021
186,total-expenditure-from-the-budget-for-the-years-2018-to-2020
187,budget-of-ministry-of-commerce-2016-2021
188,ministry-of-commerce-expenditure
189,ministry-of-justice-budget-for-the-past-fiscal-years-2018-2019-2020
190,2018-2019-2020
191,ministry-of-education-budget-during-2016-2020
192,ministry-of-education-expenses-2016-2020
193,manpower-in-moh-primary-health-care-centers-by-region-category-sex-and-nationality-1438h-2017g
194,1439-2018
195,health-manpower-in-other-governmental-sector-by-category-sex-and-nationality-1439-h-2018g
196,health-manpower-in-private-sector-by-category-sex-nationality-and-region-1439-h-2018g
197,health-manpower-in-private-sector-hospitals-by-category-sex-nationality-and-region-1439-h-2018g
198,manpower-in-public-sector-during-year-2020
199,istribution_of_schools-_classes-_students-_teachers_by_education_level_and_department_for_2017_-2018
200,teachers-by-region-1437-1440
201,eld-of-study-2013-2018
202,number-of-graduates-1436-1439
203,studying-abroad-2015-2018
204,2013-2018
205,1442-2021
206,girls--colleges--teachers--students-and-graduates-2007
207,students-with-disabilities-in-public-schools1442-ah
208,students-with-disabilities-in-universities-report
209,saudi-beneficiaries-distribution-by-region-city-and-district-2020
210,services-of-rehabilitation-center-for-disabled-children-by-age-1438-h-2017g
211,services-of-rehabilitation-center-for-disabled-children-by-age-1439-h-2018g
212,new-job-with-special-needs-jedar-the-year-2020
213,icd-10-1438-2017
214,new-cases-of-mental-disorders-and-no-of-visits---moh--hospitals-by-region--1422-a-h-2003
215,moh-newly-enrolled-physicians-in-fellowship-programs-and-high-studies-by-speciality-1439h-2018g
216,students-enrolled-in-colleges-of-health-sciences-for-male---female-in-moh-2008
217,cases-received-in-2018-2019-2020-and-2021
218,asaa
219,safd
220,safdas
221,dege
222,number-of-trainees-in-technical-skills-development-centers-1439h-2018g
223,students-enrolled-in-colleges-of-health-sciences-for-male---female-in-moh-2005
224,students-enrolled-in-colleges-of-health-sciences-for-male---female-in-moh-2007
225,students-in-university-colleges-of-medicine-and-health-14391440-h-20182019g
226,graduates-in-university-medical-and-health-colleges-male-female-by-college-14381439h-20172018g
227,students-enrolled-in-colleges-of-health-sciences-for-male---female-in-moh-2004
228,the-person-responsible-for-the-1422-1433-a
229,male-students-and-gradutes-in-health-institutes-by-region-2008
230,male-students-and-gradutes-in-health-institutes-by-region-2007_0
231,male-students-and-gradutes-in-health-institutes-by-region---and-new-enrolled--by-region-2006
232,male-students-and-gradutes-in-health-institutes-by-region---and-new-enrolled--by-region-2005
233,in-health-institutes-by-region--1418---1422-a-h--and-new-enrolled---by-region--1422-a-h--2002
234,female-students-and-gradutes-in-health-institutes-by-region--and-new-enrolled--by-region-2006
235,girl-s-colleges--teachers--students-and-graduates---1421--1422-a-h---2001
236,girls--colleges--teachers--students-and-graduates-2008
237,princess-nora-bint-abdulrahman-university--bachelor-level--teachers--students-and-graduates-2012
238,princess-nora-bint-abdulrahman-university--bachelor-level--teachers--students-and-graduates-2011
